prof_uid 	wait                    	execution               	op_id 	title                                                         	ready       	start       	end         	in     	out                                              	initiation
      14 	    7.104000000283122   	36426.28000000026       	    2 	main [primary] <2>                                            	5065868.85  	5065875.954 	5102302.234 	       	160, 161, 82, 83, 28                             	          
      15 	 3609.8919999999925     	   51.92300000041723    	    9 	blink [primary] <9>                                           	5098713.742 	5102323.634 	5102375.557 	22     	84                                               	         2
      16 	 3289.375               	   29.13300000037998    	   10 	blink [primary] <10>                                          	5099097.784 	5102387.159 	5102416.292 	22     	85                                               	         2
      17 	 3004.8250000001863     	   26.950999999418855   	   11 	blink [primary] <11>                                          	5099423.375 	5102428.2   	5102455.151 	22     	86                                               	         2
      18 	 2716.4500000001863     	   26.49699999950826    	   12 	blink [primary] <12>                                          	5099749.121 	5102465.571 	5102492.068 	22     	87                                               	         2
      19 	 2408.4640000006184     	   26.468999999575317   	   13 	blink [primary] <13>                                          	5100094.384 	5102502.848 	5102529.317 	24     	88                                               	         2
      20 	 2111.998999999836      	   80.87199999950826    	   14 	blink [primary] <14>                                          	5100427.917 	5102539.916 	5102620.788 	24     	89                                               	         2
      22 	  151.16500000003725    	   40.43999999947846    	   15 	blink [primary] <15>                                          	5102502.206 	5102653.371 	5102693.811 	24, 92 	91, 172, 15, 16, 17, 18, 175, 54, 55, 57, 59, 60 	         2
      24 	   18.360000000335276   	   36.421999999322      	   17 	blink [primary] <17>                                          	5102703.722 	5102722.082 	5102758.504 	26, 94 	64, 66, 176, 19, 20, 93, 22, 179, 61, 62         	         2
      26 	   15.158999999985099   	   64.53799999970943    	   19 	printer [primary] <19>                                        	5102768.735 	5102783.894 	5102848.432 	96     	67, 68, 70, 72, 180, 183, 24, 95                 	         2
      28 	    0.0                 	13657.544999999925      	      	Trigger Task Mapping                                          	5065704.2   	5065704.2   	5079361.745 	14     	                                                 	         2
      30 	   15.74100000038743    	   27.666999999433756   	      	Logical Dependence Analysis                                   	5095940.368 	5095956.109 	5095983.776 	       	                                                 	         3
      31 	   12.678999999538064   	  171.6019999999553     	      	Trigger Operation Mapping                                     	5095981.678 	5095994.357 	5096165.959 	       	                                                 	         3
      32 	   26.53099999949336    	   11.201000000350177   	      	Disjointness Test                                             	5096144.462 	5096170.993 	5096182.194 	       	                                                 	         3
      34 	    7.807000000029802   	    5.95299999974668    	      	Logical Dependence Analysis                                   	5096451.422 	5096459.229 	5096465.182 	       	                                                 	         4
      35 	    6.041999999433756   	   87.01800000015646    	      	Trigger Operation Mapping                                     	5096464.086 	5096470.128 	5096557.146 	       	                                                 	         4
      36 	   13.29799999948591    	   93.80400000046939    	      	Disjointness Test                                             	5096548.439 	5096561.737 	5096655.541 	       	                                                 	         4
      38 	    8.074000000022352   	   21.510000000707805   	      	Prepipeline Stage                                             	5096772.43  	5096780.504 	5096802.014 	       	                                                 	         5
      39 	    4.070000000298023   	  236.2629999993369     	      	Logical Dependence Analysis                                   	5096821.023 	5096825.093 	5097061.356 	       	                                                 	         5
      40 	    5.821000000461936   	   59.37600000016391    	      	Trigger Operation Mapping                                     	5097060.145 	5097065.966 	5097125.342 	       	                                                 	         5
      41 	    0.0                 	   58.83700000029057    	      	Prepipeline Stage                                             	5097256.069 	5097256.069 	5097314.906 	       	                                                 	         6
      42 	    4.2000000001862645  	  135.7700000004843     	      	Logical Dependence Analysis                                   	5097330.01  	5097334.21  	5097469.98  	       	                                                 	         6
      43 	   28.157000000588596   	   23.99699999950826    	      	Trigger Operation Mapping                                     	5097446.589 	5097474.746 	5097498.743 	       	                                                 	         7
      44 	    7.152999999932945   	   13.354999999515712   	      	Trigger Ready                                                 	5097494.609 	5097501.762 	5097515.117 	       	                                                 	         6
      45 	    0.0                 	   89.48699999973178    	      	Trigger Operation Mapping                                     	5097522.196 	5097522.196 	5097611.683 	       	                                                 	         6
      47 	    0.0                 	   11.9449999993667     	      	Scheduler                                                     	5097616.32  	5097616.32  	5097628.265 	       	                                                 	         0
      48 	    3.3599999994039536  	    2.8130000000819564  	      	Tighten Index Space                                           	5098892.672 	5098896.032 	5098898.845 	       	                                                 	         8
      49 	   11.640999999828637   	    1.5470000002533197  	      	Tighten Index Space                                           	5099216.073 	5099227.714 	5099229.261 	       	                                                 	         8
      50 	    7.440999999642372   	    1.4409999996423721  	      	Tighten Index Space                                           	5099538.729 	5099546.17  	5099547.611 	       	                                                 	         8
      51 	   12.424000000581145   	    1.4769999999552965  	      	Tighten Index Space                                           	5099873.969 	5099886.393 	5099887.87  	       	                                                 	         8
      52 	   11.013000000268221   	    1.4429999999701977  	      	Tighten Index Space                                           	5100186.784 	5100197.797 	5100199.24  	       	                                                 	         8
      53 	    0.0                 	 2800.507000000216      	      	Trigger Task Mapping                                          	5097631.021 	5097631.021 	5100431.528 	       	                                                 	         8
      54 	    0.0                 	   31.64199999999255    	      	Prepipeline Stage                                             	5100588.785 	5100588.785 	5100620.427 	22     	                                                 	        15
      55 	    4.260999999940395   	  110.47200000006706    	      	Logical Dependence Analysis                                   	5100635.54  	5100639.801 	5100750.273 	22     	                                                 	        15
      56 	   13.100999999791384   	    5.597000000067055   	      	Trigger Operation Mapping                                     	5100741.98  	5100755.081 	5100760.678 	       	                                                 	        16
      57 	    6.639999999664724   	    6.890999999828637   	      	Trigger Ready                                                 	5100756.672 	5100763.312 	5100770.203 	22     	                                                 	        15
      58 	    0.0                 	    8.235000000335276   	      	Scheduler                                                     	5100772.198 	5100772.198 	5100780.433 	       	                                                 	         0
      59 	   25.598000000230968   	    3.6289999997243285  	      	Tighten Index Space                                           	5100983.208 	5101008.806 	5101012.435 	22     	                                                 	        15
      60 	    0.0                 	  333.85800000000745    	      	Trigger Task Mapping                                          	5100783.173 	5100783.173 	5101117.031 	22     	                                                 	        15
      61 	    0.0                 	   27.604999999515712   	      	Prepipeline Stage                                             	5101206.558 	5101206.558 	5101234.163 	24     	                                                 	        17
      62 	    4.169999999925494   	  103.98200000077486    	      	Logical Dependence Analysis                                   	5101249.265 	5101253.435 	5101357.417 	24     	                                                 	        17
      63 	   11.063000000081956   	    3.816999999806285   	      	Trigger Operation Mapping                                     	5101350.932 	5101361.995 	5101365.812 	       	                                                 	        18
      64 	    4.929000000469387   	    5.251000000163913   	      	Trigger Ready                                                 	5101363.6   	5101368.529 	5101373.78  	24     	                                                 	        17
      65 	    0.0                 	    7.723000000230968   	      	Scheduler                                                     	5101375.953 	5101375.953 	5101383.676 	       	                                                 	         0
      66 	    0.0                 	  206.61000000033528    	      	Trigger Task Mapping                                          	5101386.395 	5101386.395 	5101593.005 	24     	                                                 	        17
