level 	level_ready 	ready 	start       	end         	color   	opacity 	title                  	initiation 	in 	out 	children 	parents 	prof_uid 	op_id 	instances
    3 	            	      	5096499.225 	5096501.278 	#ff0086 	    1.0 	Intersections          	         4 	   	    	         	        	     106 	      	
    3 	            	      	5096528.643 	5096529.005 	#ff0086 	    1.0 	Intersections          	         4 	   	    	         	        	     107 	      	
    3 	            	      	5096599.394 	5096600.023 	#ff0086 	    1.0 	Intersection Reduction 	         4 	   	    	         	        	     108 	      	
    3 	            	      	5096637.374 	5096638.814 	#ff0086 	    1.0 	Difference             	         4 	   	    	         	        	     109 	      	
    3 	            	      	5097859.107 	5097862.213 	#00bbff 	    1.0 	Intersection Reduction 	         8 	   	    	         	        	     110 	      	
    3 	            	      	5097899.341 	5097900.071 	#00bbff 	    1.0 	Difference             	         8 	   	    	         	        	     111 	      	
    3 	            	      	5098779.318 	5098780.132 	#00bbff 	    1.0 	Intersection Reduction 	         8 	   	    	         	        	     112 	      	
    3 	            	      	5098803.991 	5098804.496 	#00bbff 	    1.0 	Intersection Reduction 	         8 	   	    	         	        	     113 	      	
    3 	            	      	5098819.631 	5098820.333 	#00bbff 	    1.0 	Difference             	         8 	   	    	         	        	     114 	      	
    3 	            	      	5098870.665 	5098887.757 	#00bbff 	    1.0 	Union Reduction        	         8 	   	    	         	        	     115 	      	
    3 	            	      	5099011.430 	5099012.464 	#00bbff 	    1.0 	Intersection Reduction 	         8 	   	    	         	        	     116 	      	
    3 	            	      	5099143.495 	5099144.240 	#00bbff 	    1.0 	Intersection Reduction 	         8 	   	    	         	        	     117 	      	
    3 	            	      	5099167.019 	5099167.559 	#00bbff 	    1.0 	Intersection Reduction 	         8 	   	    	         	        	     118 	      	
    3 	            	      	5099182.773 	5099183.459 	#00bbff 	    1.0 	Difference             	         8 	   	    	         	        	     119 	      	
    3 	            	      	5099208.836 	5099212.555 	#00bbff 	    1.0 	Union Reduction        	         8 	   	    	         	        	     120 	      	
    3 	            	      	5099323.611 	5099324.472 	#00bbff 	    1.0 	Intersection Reduction 	         8 	   	    	         	        	     121 	      	
    3 	            	      	5099347.176 	5099347.592 	#00bbff 	    1.0 	Intersection Reduction 	         8 	   	    	         	        	     122 	      	
    3 	            	      	5099468.143 	5099468.850 	#00bbff 	    1.0 	Intersection Reduction 	         8 	   	    	         	        	     123 	      	
    3 	            	      	5099485.986 	5099486.410 	#00bbff 	    1.0 	Intersection Reduction 	         8 	   	    	         	        	     124 	      	
    3 	            	      	5099500.869 	5099501.588 	#00bbff 	    1.0 	Difference             	         8 	   	    	         	        	     125 	      	
    3 	            	      	5099527.347 	5099530.751 	#00bbff 	    1.0 	Union Reduction        	         8 	   	    	         	        	     126 	      	
    3 	            	      	5099634.501 	5099635.423 	#00bbff 	    1.0 	Intersection Reduction 	         8 	   	    	         	        	     127 	      	
    3 	            	      	5099656.436 	5099656.876 	#00bbff 	    1.0 	Intersection Reduction 	         8 	   	    	         	        	     128 	      	
    3 	            	      	5099667.023 	5099667.444 	#00bbff 	    1.0 	Intersection Reduction 	         8 	   	    	         	        	     129 	      	
