level 	level_ready 	ready       	start       	end         	color   	opacity 	title                                                     	initiation 	in         	out        	children 	parents 	prof_uid 	op_id 	instances
    3 	          3 	5035829.579 	5035829.579 	5035848.140 	#00ebff 	   1.0  	Scheduler                                                 	         0 	           	           	         	        	     486 	      	
    3 	          3 	5035848.140 	5035848.140 	5035848.443 	#00ebff 	   0.15 	Scheduler (waiting)                                       	         0 	           	           	         	        	     486 	      	
    3 	          3 	5035848.443 	5035848.443 	5035848.443 	#00ebff 	   0.45 	Scheduler (ready)                                         	         0 	           	           	         	        	     486 	      	
    3 	          3 	5035848.443 	5035848.443 	5035928.397 	#00ebff 	   1.0  	Scheduler                                                 	         0 	           	           	         	        	     486 	      	
    3 	          3 	5035928.397 	5035928.397 	5035931.284 	#00ebff 	   0.15 	Scheduler (waiting)                                       	         0 	           	           	         	        	     486 	      	
    3 	          3 	5035931.284 	5035931.284 	5035931.284 	#00ebff 	   0.45 	Scheduler (ready)                                         	         0 	           	           	         	        	     486 	      	
    3 	          3 	5035931.284 	5035931.284 	5065587.898 	#00ebff 	   1.0  	Scheduler                                                 	         0 	           	           	         	        	     486 	      	
    2 	          2 	5035848.140 	5035848.140 	5035848.443 	#75ff00 	   1.0  	Mapper Call select_steal_targets for 0                    	         0 	           	           	         	        	     158 	      	
    2 	          2 	5035928.397 	5035928.397 	5035931.284 	#00e8ff 	   1.0  	Mapper Call select_tasks_to_map for 0                     	         0 	           	           	         	        	     159 	      	
    3 	          2 	5065704.200 	5065704.200 	5065799.692 	#0069ff 	   1.0  	Trigger Task Mapping                                      	         2 	[[0,1,14]] 	           	         	        	      28 	      	
    3 	          2 	5065799.692 	5065799.692 	5065800.001 	#0069ff 	   0.15 	Trigger Task Mapping (waiting)                            	         2 	           	           	         	        	      28 	      	
    3 	          2 	5065800.001 	5065800.001 	5065800.001 	#0069ff 	   0.45 	Trigger Task Mapping (ready)                              	         2 	           	           	         	        	      28 	      	
    3 	          2 	5065800.001 	5065800.001 	5065734.472 	#0069ff 	   1.0  	Trigger Task Mapping                                      	         2 	           	           	         	        	      28 	      	
    3 	          2 	5065734.472 	5065734.472 	5065755.974 	#0069ff 	   0.15 	Trigger Task Mapping (waiting)                            	         2 	           	           	         	        	      28 	      	
    3 	          2 	5065755.974 	5065755.974 	5065755.974 	#0069ff 	   0.45 	Trigger Task Mapping (ready)                              	         2 	           	           	         	        	      28 	      	
    3 	          2 	5065800.001 	5065800.001 	5079361.745 	#0069ff 	   1.0  	Trigger Task Mapping                                      	         2 	           	           	         	        	      28 	      	
    2 	          3 	5065734.472 	5065734.472 	5065750.814 	#0033ff 	   1.0  	Mapper Call map_task for 2                                	         2 	[[0,1,14]] 	           	         	        	     160 	      	
    2 	          3 	5065750.814 	5065750.814 	5065751.020 	#0033ff 	   0.15 	Mapper Call map_task for 2 (waiting)                      	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065751.020 	5065751.020 	5065751.020 	#0033ff 	   0.45 	Mapper Call map_task for 2 (ready)                        	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065751.020 	5065751.020 	5065749.933 	#0033ff 	   1.0  	Mapper Call map_task for 2                                	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065749.933 	5065749.933 	5065750.153 	#0033ff 	   0.15 	Mapper Call map_task for 2 (waiting)                      	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065750.153 	5065750.153 	5065750.153 	#0033ff 	   0.45 	Mapper Call map_task for 2 (ready)                        	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065751.020 	5065751.020 	5065746.024 	#0033ff 	   1.0  	Mapper Call map_task for 2                                	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065746.024 	5065746.024 	5065746.261 	#0033ff 	   0.15 	Mapper Call map_task for 2 (waiting)                      	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065746.261 	5065746.261 	5065746.261 	#0033ff 	   0.45 	Mapper Call map_task for 2 (ready)                        	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065751.020 	5065751.020 	5065746.795 	#0033ff 	   1.0  	Mapper Call map_task for 2                                	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065746.795 	5065746.795 	5065747.057 	#0033ff 	   0.15 	Mapper Call map_task for 2 (waiting)                      	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065747.057 	5065747.057 	5065747.057 	#0033ff 	   0.45 	Mapper Call map_task for 2 (ready)                        	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065751.020 	5065751.020 	5065751.802 	#0033ff 	   1.0  	Mapper Call map_task for 2                                	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065751.802 	5065751.802 	5065752.176 	#0033ff 	   0.15 	Mapper Call map_task for 2 (waiting)                      	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065752.176 	5065752.176 	5065752.176 	#0033ff 	   0.45 	Mapper Call map_task for 2 (ready)                        	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065752.176 	5065752.176 	5065747.757 	#0033ff 	   1.0  	Mapper Call map_task for 2                                	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065747.757 	5065747.757 	5065748.277 	#0033ff 	   0.15 	Mapper Call map_task for 2 (waiting)                      	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065748.277 	5065748.277 	5065748.277 	#0033ff 	   0.45 	Mapper Call map_task for 2 (ready)                        	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065752.176 	5065752.176 	5065743.899 	#0033ff 	   1.0  	Mapper Call map_task for 2                                	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065743.899 	5065743.899 	5065744.520 	#0033ff 	   0.15 	Mapper Call map_task for 2 (waiting)                      	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065744.520 	5065744.520 	5065744.520 	#0033ff 	   0.45 	Mapper Call map_task for 2 (ready)                        	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065752.176 	5065752.176 	5065738.533 	#0033ff 	   1.0  	Mapper Call map_task for 2                                	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065738.533 	5065738.533 	5065740.985 	#0033ff 	   0.15 	Mapper Call map_task for 2 (waiting)                      	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065740.985 	5065740.985 	5065740.985 	#0033ff 	   0.45 	Mapper Call map_task for 2 (ready)                        	         2 	           	           	         	        	     160 	      	
    2 	          3 	5065752.176 	5065752.176 	5065755.974 	#0033ff 	   1.0  	Mapper Call map_task for 2                                	         2 	           	           	         	        	     160 	      	
    1 	          1 	5065738.533 	5065738.533 	5065740.985 	#ff00d2 	   1.0  	MapperRuntime::find_valid_variants                        	         2 	           	           	         	        	     184 	      	
    1 	          1 	5065743.899 	5065743.899 	5065744.520 	#00ffbd 	   1.0  	MapperRuntime::find_execution_constraints                 	         2 	           	           	         	        	     185 	      	
    1 	          1 	5065746.024 	5065746.024 	5065746.261 	#00ffbd 	   1.0  	MapperRuntime::find_execution_constraints                 	         2 	           	           	         	        	     186 	      	
    1 	          1 	5065746.795 	5065746.795 	5065747.057 	#ff00d2 	   1.0  	MapperRuntime::find_valid_variants                        	         2 	           	           	         	        	     187 	      	
    1 	          1 	5065747.757 	5065747.757 	5065748.277 	#ff00d2 	   1.0  	MapperRuntime::find_valid_variants                        	         2 	           	           	         	        	     188 	      	
    1 	          1 	5065749.933 	5065749.933 	5065750.153 	#6400ff 	   1.0  	MapperRuntime::is_inner_variant                           	         2 	           	           	         	        	     189 	      	
    1 	          1 	5065750.814 	5065750.814 	5065751.020 	#ff0067 	   1.0  	MapperRuntime::is_replicable_variant                      	         2 	           	           	         	        	     190 	      	
    1 	          1 	5065751.802 	5065751.802 	5065752.176 	#a0ff00 	   1.0  	MapperRuntime::find_task_layout_constraints               	         2 	           	           	         	        	     191 	      	
    2 	          3 	5065799.692 	5065799.692 	5065800.001 	#ff0037 	   1.0  	Mapper Call configure_context for 2                       	         2 	[[0,1,14]] 	           	         	        	     161 	      	
    3 	          3 	5079375.926 	5079375.926 	5079387.859 	#ffc0cb 	   1.0  	ProfTask <2>                                              	           	           	           	         	        	     353 	    2 	
    3 	          3 	5095940.368 	5095956.109 	5095983.776 	#af00ff 	   1.0  	Logical Dependence Analysis                               	         3 	           	           	         	        	      30 	      	
    3 	          2 	5095981.678 	5095994.357 	5096165.959 	#d3ff00 	   1.0  	Trigger Operation Mapping                                 	         3 	           	           	         	        	      31 	      	
    3 	          3 	5096144.462 	5096170.993 	5096182.194 	#2700ff 	   1.0  	Disjointness Test                                         	         3 	           	           	         	        	      32 	      	
    3 	          3 	5096186.195 	5096186.195 	5096188.459 	#ffc0cb 	   1.0  	ProfTask <3>                                              	           	           	           	         	        	     354 	    3 	
    3 	          3 	5096189.687 	5096189.687 	5096194.193 	#ffc0cb 	   1.0  	ProfTask <3>                                              	           	           	           	         	        	     355 	    3 	
    3 	          3 	5096195.191 	5096195.191 	5096198.520 	#ffc0cb 	   1.0  	ProfTask <3>                                              	           	           	           	         	        	     356 	    3 	
    3 	          3 	5096451.422 	5096459.229 	5096465.182 	#af00ff 	   1.0  	Logical Dependence Analysis                               	         4 	           	           	         	        	      34 	      	
    3 	          2 	5096464.086 	5096470.128 	5096557.146 	#d3ff00 	   1.0  	Trigger Operation Mapping                                 	         4 	           	           	         	        	      35 	      	
    3 	          3 	5096548.439 	5096561.737 	5096655.541 	#2700ff 	   1.0  	Disjointness Test                                         	         4 	           	           	         	        	      36 	      	
    3 	          3 	5096660.415 	5096660.415 	5096661.992 	#ffc0cb 	   1.0  	ProfTask <4>                                              	           	           	           	         	        	     357 	    4 	
    3 	          3 	5096663.209 	5096663.209 	5096663.389 	#ffc0cb 	   1.0  	ProfTask <4>                                              	           	           	           	         	        	     358 	    4 	
    3 	          3 	5096664.196 	5096664.196 	5096665.013 	#ffc0cb 	   1.0  	ProfTask <4>                                              	           	           	           	         	        	     359 	    4 	
    3 	          3 	5096665.752 	5096665.752 	5096666.388 	#ffc0cb 	   1.0  	ProfTask <4>                                              	           	           	           	         	        	     360 	    4 	
    3 	          3 	5096667.194 	5096667.194 	5096667.380 	#ffc0cb 	   1.0  	ProfTask <4>                                              	           	           	           	         	        	     361 	    4 	
    3 	          3 	5096668.013 	5096668.013 	5096668.178 	#ffc0cb 	   1.0  	ProfTask <4>                                              	           	           	           	         	        	     362 	    4 	
    3 	          3 	5096669.181 	5096669.181 	5096669.570 	#ffc0cb 	   1.0  	ProfTask <4>                                              	           	           	           	         	        	     363 	    4 	
    3 	          3 	5096772.430 	5096780.504 	5096802.014 	#009900 	   1.0  	Prepipeline Stage                                         	         5 	           	           	         	        	      38 	      	
    3 	          3 	5096807.075 	5096807.075 	5096812.765 	#ffc0cb 	   1.0  	ProfTask <5>                                              	           	           	           	         	        	     364 	    5 	
    3 	          3 	5096821.023 	5096825.093 	5097061.356 	#af00ff 	   1.0  	Logical Dependence Analysis                               	         5 	           	           	         	        	      39 	      	
    3 	          2 	5097060.145 	5097065.966 	5097125.342 	#d3ff00 	   1.0  	Trigger Operation Mapping                                 	         5 	           	           	         	        	      40 	      	
    3 	          3 	5097129.197 	5097129.197 	5097130.303 	#ffc0cb 	   1.0  	ProfTask <5>                                              	           	           	           	         	        	     365 	    5 	
    3 	          3 	5097131.255 	5097131.255 	5097131.651 	#ffc0cb 	   1.0  	ProfTask <5>                                              	           	           	           	         	        	     366 	    5 	
    3 	          3 	5097256.069 	5097256.069 	5097262.751 	#009900 	   1.0  	Prepipeline Stage                                         	         6 	           	           	         	        	      41 	      	
    3 	          3 	5097262.751 	5097262.751 	5097281.373 	#009900 	   0.15 	Prepipeline Stage (waiting)                               	         6 	           	           	         	        	      41 	      	
    3 	          3 	5097281.373 	5097281.373 	5097281.373 	#009900 	   0.45 	Prepipeline Stage (ready)                                 	         6 	           	           	         	        	      41 	      	
    3 	          3 	5097281.373 	5097281.373 	5097314.906 	#009900 	   1.0  	Prepipeline Stage                                         	         6 	           	           	         	        	      41 	      	
    2 	          2 	5097262.751 	5097262.751 	5097279.513 	#ff6700 	   1.0  	Mapper Call select_task_options for 6                     	         6 	           	           	         	        	     162 	      	
    2 	          2 	5097279.513 	5097279.513 	5097279.727 	#ff6700 	   0.15 	Mapper Call select_task_options for 6 (waiting)           	         6 	           	           	         	        	     162 	      	
    2 	          2 	5097279.727 	5097279.727 	5097279.727 	#ff6700 	   0.45 	Mapper Call select_task_options for 6 (ready)             	         6 	           	           	         	        	     162 	      	
    2 	          2 	5097279.727 	5097279.727 	5097274.990 	#ff6700 	   1.0  	Mapper Call select_task_options for 6                     	         6 	           	           	         	        	     162 	      	
    2 	          2 	5097274.990 	5097274.990 	5097275.210 	#ff6700 	   0.15 	Mapper Call select_task_options for 6 (waiting)           	         6 	           	           	         	        	     162 	      	
    2 	          2 	5097275.210 	5097275.210 	5097275.210 	#ff6700 	   0.45 	Mapper Call select_task_options for 6 (ready)             	         6 	           	           	         	        	     162 	      	
    2 	          2 	5097279.727 	5097279.727 	5097269.016 	#ff6700 	   1.0  	Mapper Call select_task_options for 6                     	         6 	           	           	         	        	     162 	      	
