time	count
0.000	0.00
5035829.579	1.00
5065587.898	0.00
5065704.200	1.00
5079361.745	0.00
5079375.926	1.00
5079387.859	0.00
5095956.109	1.00
5095983.776	0.00
5095994.357	1.00
5096165.959	0.00
5096170.993	1.00
5096182.194	0.00
5096186.195	1.00
5096188.459	0.00
5096189.687	1.00
5096194.193	0.00
5096195.191	1.00
5096198.520	0.00
5096459.229	1.00
5096465.182	0.00
5096470.128	1.00
5096557.146	0.00
5096561.737	1.00
5096655.541	0.00
5096660.415	1.00
5096661.992	0.00
5096663.209	1.00
5096663.389	0.00
5096664.196	1.00
5096665.013	0.00
5096665.752	1.00
5096666.388	0.00
5096667.194	1.00
5096667.380	0.00
5096668.013	1.00
5096668.178	0.00
5096669.181	1.00
5096669.570	0.00
5096780.504	1.00
5096802.014	0.00
5096807.075	1.00
5096812.765	0.00
5096825.093	1.00
5097061.356	0.00
5097065.966	1.00
5097125.342	0.00
5097129.197	1.00
5097130.303	0.00
5097131.255	1.00
5097131.651	0.00
5097256.069	1.00
5097314.906	0.00
5097320.477	1.00
5097321.306	0.00
5097334.210	1.00
5097469.980	0.00
5097474.746	1.00
5097498.743	0.00
5097501.762	1.00
5097515.117	0.00
5097522.196	1.00
5097611.683	0.00
5097616.320	1.00
5097628.265	0.00
5097631.021	1.00
5098230.894	0.00
5098258.179	1.00
5098893.483	0.00
5098896.032	1.00
5098898.845	0.00
5098904.673	1.00
5099225.201	0.00
5099227.714	1.00
5099229.261	0.00
5099240.957	1.00
5099543.747	0.00
5099546.170	1.00
5099547.611	0.00
5099553.200	1.00
5099883.997	0.00
5099886.393	1.00
5099887.870	0.00
5099894.749	1.00
5100195.402	0.00
5100197.797	1.00
5100199.240	0.00
5100204.915	1.00
5100431.528	0.00
5100439.113	1.00
5100440.587	0.00
5100441.714	1.00
5100442.186	0.00
5100442.893	1.00
5100443.276	0.00
5100443.944	1.00
5100444.594	0.00
5100445.312	1.00
5100445.687	0.00
5100446.485	1.00
5100446.787	0.00
5100447.554	1.00
5100447.767	0.00
5100448.584	1.00
5100456.727	0.00
